Country,LE2002,LE2010,LE2018
Sao Tome and Principe,62.687,67.43,70.17
Saudi Arabia,72.92,73.917,74.998
Senegal,58.675,64.284,67.665
Serbia,72.28536585,74.33658537,75.8902439
Seychelles,71.08780488,73.19756098,72.84146341
Sierra Leone,41.376,49.382,54.309
Singapore,78.55121951,81.54146341,83.29756098
Sint Maarten (Dutch part),..,..,..
Slovak Republic,73.60487805,75.11219512,77.26585366
Slovenia,76.00731707,79.42195122,81.37804878
Solomon Islands,68.175,70.674,72.835
Somalia,51.492,53.99,57.068
South Africa,54.31,57.669,63.857
South Sudan,50.05,54.8,57.604
Spain,79.56829268,81.62682927,83.43170732
Sri Lanka,73.085,75.439,76.812
St. Kitts and Nevis,71.33658537,..,..
St. Lucia,73.648,74.852,76.057
St. Martin (French part),77.17317073,78.52195122,79.82195122
St. Vincent and the Grenadines,70.977,71.776,72.415
Sudan,59.258,62.764,65.095
Suriname,68.064,70.465,71.57
Sweden,79.84634146,81.45121951,82.55853659
Switzerland,80.38536585,82.24634146,83.75365854
Syrian Arab Republic,73.663,72.108,71.779
Tajikistan,63.653,68.736,70.879
Tanzania,52.142,58.584,65.015
Thailand,71.089,74.184,76.931
Timor-Leste,60.901,67.186,69.26
Togo,53.71,57.468,60.76
Tonga,69.771,70.059,70.801
Trinidad and Tobago,69.903,71.946,73.38
Tunisia,73.638,75.041,76.505
Turkey,71.078,74.507,77.437
Turkmenistan,64.101,66.657,68.073
Turks and Caicos Islands,..,..,..
Tuvalu,..,..,..
Uganda,48.299,57.099,62.973
Ukraine,68.27560976,70.26536585,71.58268293
United Arab Emirates,74.758,76.332,77.814
United Kingdom,78.14390244,80.40243902,81.25609756
United States,76.93658537,78.54146341,78.63902439
Uruguay,75.152,76.75,77.77
Uzbekistan,67.613,69.672,71.573
Vanuatu,67.793,69.123,70.323
"Venezuela, RB",72.466,73.134,72.128
Vietnam,73.438,74.837,75.317
Virgin Islands (U.S.),77.52195122,77.86585366,79.5195122
West Bank and Gaza,71.447,72.788,73.895
"Yemen, Rep.",61.781,65.549,66.096
Zambia,45.4,55.655,63.51
Zimbabwe,43.523,50.64,61.195
